Photometry of Phase I galaxies,,,,,,,,,,,,,,,,,19.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,< slope,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.704329435,< zero,,,,,
,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.75,< avg color,,,15.5,#REF!
,,,,,2MASS,,,,,,UKIDSS 10,,,,,,,,,,,,,,,,,,,Coords for 2MASS/WISE input,,,,,,,Decimal coords,,WISE extraction,,,,,,,,,,,,,,Fill in gaps in log lambda,,,,,,,,,,,Compute J from z,,0.27,0.31,< sigma,,,19.7,#REF!
ID,Name,z,phot'y,Q4,J,err,H,err,K,err,Y,err,J,err,H,err,K,err,u,err,g,err,r,err,i,err,z,err,,h,m,s,d,m,s,<0,ra,dec,name,dist,ra,dec,w1,err,w2,err,w3,err,w4,err,Note,,band,lam,loglam,N,,,,,,,,z,<J>,<J-H>,<J-K>,,,,,
1,J011117.34+142653.6,1.15,UK:2M,Y,16.052,0.080,15.528,0.128,14.782,0.093,16.672,0.011,16.396,0.014,15.639,0.013,14.824,0.014,20.330,0.047,19.211,0.011,18.231,0.007,17.719,0.007,17.369,0.018,,1,11,17.34,#VALUE!,26,53.6,0,17.822250,#VALUE!,J011117.37+142653.6,0.45,17.822378,14.448235,13.417,0.024,12.152,0.023,9.270,0.036,6.855,0.097,,,u,0.355,-0.450,1,,,,,,,,17.369,16.224,0.641,1.421,,,,,
2,J024254.66-072205.6,1.22,  :  ,Y,,,,,,,,,,,,,,,20.290,0.070,19.870,0.019,19.194,0.015,19.059,0.021,19.030,0.070,,2,42,54.66,-7,22,5.6,1,40.727750,-7.368222,J024254.64-072205.4,0.22,40.7277058,-7.3681785,14.351,0.028,13.106,0.028,10.356,0.056,7.975,0.187,,,g,0.482,-0.317,2,,,,,,,,16.131,15.007,0.340,0.868,,,,,
3,J030000.57+004828.0,0.89,UK:2M,Y,15.092,0.048,14.594,0.074,14.108,0.070,15.626,0.006,14.922,0.003,14.741,0.007,14.171,0.005,19.890,0.040,19.396,0.012,16.742,0.004,16.524,0.005,16.131,0.007,,3,0,0.57,#VALUE!,48,28.0,0,45.002375,#VALUE!,J030000.57+004827.9,0.14,45.0024023,0.8077503,12.689,0.023,11.426,0.022,8.333,0.024,5.951,0.040,,,r,0.626,-0.203,3,,,,,,,,18.366,17.770,0.222,0.422,,,,,
4,J033810.84+005617.7,1.63,UK:  ,Y,,,,,,,18.075,0.032,17.770,0.026,17.326,0.064,16.926,0.048,20.580,0.070,19.528,0.014,18.615,0.009,18.334,0.010,18.366,0.028,,3,38,10.84,#VALUE!,56,17.7,0,54.545167,#VALUE!,J033810.83+005617.5,0.21,54.545139,0.9381994,15.857,0.052,14.437,0.056,11.168,0.160,8.153,0.277,,,i,0.767,-0.115,4,,,,,,,,17.218,15.948,0.125,0.450,,,,,
5,J081312.60+432640.0,1.09,  :  ,Y,,,,,,,,,,,,,,,19.980,0.040,19.460,0.012,18.972,0.011,18.838,0.013,18.840,0.040,,8,13,12.60,#VALUE!,26,40.0,0,123.302500,#VALUE!,J081312.59+432640.2,0.26,123.3024805,43.4445141,15.205,0.037,13.847,0.042,10.725,0.108,8.545,0.343,,,z,0.910,-0.041,5,,,,,,,,16.110,15.021,0.314,0.568,,,,,
6,J083522.76+424258.3,0.81,  :2M,Y,15.948,0.083,15.698,0.145,15.048,0.129,,,,,,,,,18.669,0.160,18.004,0.006,17.644,0.006,17.491,0.006,17.218,0.012,,8,35,22.76,#VALUE!,42,58.3,0,128.844833,#VALUE!,J083522.77+424258.2,0.15,128.84489,42.7161878,13.453,0.025,12.202,0.024,9.458,0.040,6.924,0.082,,,J,1.235,0.092,6,,,,,,,,18.272,16.625,0.118,0.681,,,,,
